"filename", "language", "TypeScript", "TypeScript JSX", "MS SQL", "Markdown", "comment", "blank", "total"
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\guide\CoachBubble.tsx", "TypeScript JSX", 0, 105, 0, 0, 8, 13, 126
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\guide\Confetti.tsx", "TypeScript JSX", 0, 23, 0, 0, 1, 2, 26
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\guide\GuidedOnboarding.tsx", "TypeScript JSX", 0, 27, 0, 0, 4, 6, 37
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\guide\SpotlightOverlay.tsx", "TypeScript JSX", 0, 36, 0, 0, 13, 8, 57
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\guide\guideSteps.test.ts", "TypeScript", 84, 0, 0, 0, 9, 14, 107
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\guide\guideSteps.ts", "TypeScript", 177, 0, 0, 0, 15, 9, 201
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\guide\useGuidedOnboarding.ts", "TypeScript", 142, 0, 0, 0, 19, 22, 183
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\onboardingService.test.ts", "TypeScript", 46, 0, 0, 0, 0, 14, 60
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\onboardingService.ts", "TypeScript", 29, 0, 0, 0, 5, 6, 40
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\preview\OnboardingPreviewContext.tsx", "TypeScript JSX", 0, 22, 0, 0, 3, 6, 31
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\onboarding\preview\PreviewBadge.tsx", "TypeScript JSX", 0, 16, 0, 0, 2, 3, 21
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\riot\components\AccountConnectionForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 2, 0, 2
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\riot\services\accountService.ts", "TypeScript", -9, 0, 0, 0, 1, 0, -8
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\domains\riot\services\matchSyncService.ts", "TypeScript", 28, 0, 0, 0, 3, 5, 36
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\hooks\useAutoSync.test.ts", "TypeScript", 21, 0, 0, 0, 0, 6, 27
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\hooks\useAutoSync.ts", "TypeScript", 28, 0, 0, 0, 7, 6, 41
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\hooks\useCompleteOnboarding.ts", "TypeScript", 11, 0, 0, 0, 2, 4, 17
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\hooks\useOnboardingFlow.ts", "TypeScript", -76, 0, 0, 0, -4, -16, -96
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\inngest\functions\matchSync.ts", "TypeScript", -36, 0, 0, 0, 0, -7, -43
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\lib\inngest\dispatch.test.ts", "TypeScript", 32, 0, 0, 0, 0, 13, 45
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\src\lib\inngest\dispatch.ts", "TypeScript", 18, 0, 0, 0, 8, 3, 29
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\tests\e2e\global-setup.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 2
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\tests\e2e\guided-onboarding.spec.ts", "TypeScript", 49, 0, 0, 0, 10, 14, 73
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\tests\e2e\tour.spec.ts", "TypeScript", -18, 0, 0, 0, -6, -7, -31
"Total", "-", 485, -113, 1, 280, 105, 199, 957
