"filename", "language", "TypeScript", "TypeScript JSX", "Markdown", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\ToolsShowcaseSection2.tsx", "TypeScript JSX", 0, -218, 0, 0, 0, -3, -25, -246
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\page.tsx", "TypeScript JSX", 0, -6, 0, 0, 0, -4, 0, -10
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\s\[region]\[gameName]\[tagLine]\page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 1, 0, 3
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\RelatedTools.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 2, 3, 36
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\ToolUpgradeNudge.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 4, 6, 61
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\aram\[champion]\page.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 1, 5, 39
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\aram\tier-list\page.tsx", "TypeScript JSX", 0, 107, 0, 0, 0, 0, 11, 118
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\builds\BuildSearch.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 2, 6, 32
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\builds\[champion]\[role]\page.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 2, 6, 40
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\builds\[champion]\page.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 1, 5, 40
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\builds\page.tsx", "TypeScript JSX", 0, 61, 0, 0, 0, 0, 8, 69
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\counters\[champion]\CounterInsights.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 2, 6, 46
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\counters\[champion]\counterText.ts", "TypeScript", 49, 0, 0, 0, 0, 3, 8, 60
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\counters\[champion]\opengraph-image.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 0, 5, 24
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\counters\[champion]\page.tsx", "TypeScript JSX", 0, 210, 0, 0, 0, 7, 20, 237
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\layout.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\matchups\[slug]\page.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 2, 6, 38
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\meta\MoverList.tsx", "TypeScript JSX", 0, 75, 0, 0, 0, 0, 5, 80
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\meta\metaReportText.ts", "TypeScript", 67, 0, 0, 0, 0, 3, 12, 82
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\meta\page.tsx", "TypeScript JSX", 0, 131, 0, 0, 0, 3, 16, 150
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\opengraph-image.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 2, 3, 16
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\counter-picker\CounterPickerControls.tsx", "TypeScript JSX", 0, 95, 0, 0, 0, 4, 9, 108
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\counter-picker\page.tsx", "TypeScript JSX", 0, 157, 0, 0, 0, 2, 17, 176
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\draft-analyzer\DraftBuilder.tsx", "TypeScript JSX", 0, 73, 0, 0, 0, 2, 8, 83
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\draft-analyzer\DraftResults.tsx", "TypeScript JSX", 0, 117, 0, 0, 0, 0, 10, 127
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\draft-analyzer\page.tsx", "TypeScript JSX", 0, 116, 0, 0, 0, 5, 17, 138
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\matchup\MatchupBuildSummary.tsx", "TypeScript JSX", 0, 95, 0, 0, 0, 2, 7, 104
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\matchup\MatchupControls.tsx", "TypeScript JSX", 0, 81, 0, 0, 0, 0, 7, 88
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\matchup\MatchupReportCard.tsx", "TypeScript JSX", 0, 74, 0, 0, 0, 1, 7, 82
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\matchup\loadMatchupExtras.ts", "TypeScript", 57, 0, 0, 0, 0, 3, 8, 68
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\matchup\page.tsx", "TypeScript JSX", 0, 128, 0, 0, 0, 1, 16, 145
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\opengraph-image.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\page.tsx", "TypeScript JSX", 0, 115, 0, 0, 0, 0, 8, 123
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\tier-list\TierListView.tsx", "TypeScript JSX", 0, 99, 0, 0, 0, 5, 10, 114
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\tier-list\TierRow.tsx", "TypeScript JSX", 0, 85, 0, 0, 0, 7, 6, 98
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\tier-list\[role]\page.tsx", "TypeScript JSX", 0, 88, 0, 0, 0, 2, 15, 105
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\tier-list\opengraph-image.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\tier-list\page.tsx", "TypeScript JSX", 0, 71, 0, 0, 0, 2, 14, 87
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\tools\tier-list\tierBlurb.ts", "TypeScript", 50, 0, 0, 0, 0, 3, 7, 60
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\achievements\share\[achievementId]\achievementOgTemplate.tsx", "TypeScript JSX", 0, 108, 0, 0, 0, 7, 10, 125
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\achievements\share\[achievementId]\route.tsx", "TypeScript JSX", 0, -96, 0, 0, 0, -7, -6, -109
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\auth\register\route.ts", "TypeScript", -47, 0, 0, 0, 0, -3, -12, -62
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\cards\[token]\cardOgTokens.ts", "TypeScript", 15, 0, 0, 0, 0, 1, 2, 18
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\cards\[token]\masteryCardOg.tsx", "TypeScript JSX", 0, 84, 0, 0, 0, 4, 7, 95
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\cards\[token]\route.tsx", "TypeScript JSX", 0, -191, 0, 0, 0, -13, -18, -222
