"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\champions\page.tsx", "TypeScript JSX", 0, -1, 0, 0, -1
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\public\preview\route.ts", "TypeScript", 11, 0, 1, 2, 14
"Total", "-", 11, -1, 1, 2, 13
